type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.47439,5.40523,20.7,352.9,7.79,22.42,,
T,51.47462,5.40517,20.3,350.8,7.816,25.93,,
T,51.47483,5.4051,20.7,348.3,7.84,23.86,,
T,51.47487,5.40509,20.9,351.1,7.845,4.5,,
T,51.47498,5.40505,21.4,347.2,7.857,12.55,,
T,51.47515,5.40499,21.4,347.6,7.877,19.37,,
T,51.47528,5.40494,21,346.5,7.891,14.87,,
T,51.47546,5.40486,20.7,344.5,7.912,20.78,,
T,51.4757,5.40477,20.6,346.9,7.94,27.42,,
T,51.4759,5.4047,20.9,347.7,7.962,22.78,,
T,51.47611,5.40463,20.7,348.3,7.986,23.86,,
T,51.47642,5.40453,20.4,348.6,8.021,35.18,,
T,51.47664,5.40446,20.8,348.8,8.046,24.96,,
T,51.47675,5.40443,21,350.4,8.059,12.41,,
T,51.47678,5.40442,20.9,348.3,8.062,3.41,,
T,51.47686,5.4044,21,351.1,8.071,9.01,,
T,51.47697,5.40437,20.9,350.4,8.084,12.41,,
T,51.47699,5.40437,20.8,0,8.086,2.23,,
T,51.47708,5.40435,20.4,352.1,8.096,10.11,,
T,51.47718,5.40432,20.1,349.4,8.107,11.32,,
T,51.47722,5.40431,20,351.1,8.112,4.5,,
T,51.47731,5.40429,19.9,352.1,8.122,10.11,,
T,51.47749,5.40425,19.7,352.1,8.142,20.22,,
T,51.4775,5.40425,19.7,0,8.143,1.11,,
T,51.47757,5.40413,19.7,313.1,8.155,11.41,,
T,51.47757,5.40413,19.7,313.1,8.155,0,,
T,51.47769,5.40411,19.6,354.1,8.168,13.42,,
T,51.47776,5.4041,19.5,354.9,8.176,7.82,,
T,51.47795,5.40406,19.5,352.5,8.197,21.32,,
T,51.47817,5.40403,19.3,355.1,8.222,24.57,,
T,51.47845,5.40398,19,353.7,8.253,31.35,,
T,51.47855,5.40397,19,356.4,8.264,11.15,,
T,51.4787,5.40395,18.9,355.3,8.281,16.75,,
T,51.4788,5.40394,18.9,356.4,8.292,11.15,,
T,51.47891,5.40393,18.9,356.8,8.304,12.26,,
T,51.47901,5.40392,18.9,356.4,8.316,11.15,,
T,51.47918,5.40392,18.9,0,8.335,18.91,,
T,51.47922,5.40392,18.9,0,8.339,4.45,,
T,51.47938,5.40393,18.9,2.2,8.357,17.81,,
T,51.47959,5.40396,18.7,5.1,8.38,23.46,,
T,51.47977,5.404,18.6,7.9,8.4,20.22,,
T,51.47989,5.40404,18.5,11.7,8.414,13.64,,
T,51.47999,5.40407,18.3,10.6,8.425,11.32,,
T,51.48009,5.4041,18.4,10.6,8.437,11.32,,
T,51.48015,5.40412,18.5,11.7,8.444,6.82,,
T,51.48022,5.40414,18.7,10.1,8.451,7.91,,
T,51.48032,5.40419,18.8,17.3,8.463,11.66,,
T,51.48042,5.40424,18.6,17.3,8.475,11.66,,
T,51.4805,5.40428,18.5,17.3,8.484,9.32,,
T,51.4807,5.4044,18.5,20.5,8.508,23.76,,
T,51.48079,5.40446,18.8,22.5,8.519,10.85,,
T,51.48093,5.40456,18.5,24,8.536,17.06,,
T,51.48101,5.40461,18.5,21.3,8.545,9.55,,
T,51.48102,5.40462,18.5,31.9,8.547,1.31,,
T,51.48103,5.40463,18.6,31.9,8.548,1.31,,
T,51.48105,5.40464,18.6,17.3,8.55,2.33,,
T,51.48114,5.40471,19,25.8,8.561,11.13,,
